                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.503,                 1.2682,                 1.5075,                0.60978,                 0.5875,                0.53721,                0.25696,                  1.894,                 1.5773,                 1.8239,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.5191,                   1.29,                 1.5069,                0.56601,                 0.6375,                 0.5407,                0.26912,                 1.9348,                 1.5544,                 1.8433,              0.0017756,              0.0017756,              0.0017756
                     37,                  1.474,                 1.2501,                 1.4906,                0.52451,                 0.6625,                0.58872,                0.26083,                 1.9302,                 1.4609,                 1.8357,               0.001769,               0.001769,               0.001769
                     38,                 1.4652,                 1.2401,                 1.4549,                0.54075,                 0.5625,                0.52156,                0.25054,                 1.9814,                 1.5334,                 1.8161,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.4551,                 1.1917,                 1.4638,                0.56369,                0.61875,                0.55587,                  0.258,                  1.944,                 1.4454,                 1.8289,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4155,                 1.1712,                 1.4364,                0.61735,                0.62519,                 0.5942,                0.25189,                 2.0151,                 1.5529,                 1.8536,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.4448,                 1.2063,                 1.4665,                0.55543,                0.57784,                 0.4885,                 0.2156,                  1.948,                 1.5396,                 1.7885,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.4956,                  1.244,                 1.4832,                0.57171,                 0.5375,                0.50335,                0.22755,                 1.9508,                 1.6475,                 1.7559,               0.001736,               0.001736,               0.001736
                     43,                 1.4766,                 1.2124,                 1.4645,                0.60954,                 0.5125,                0.51068,                0.20147,                 1.9973,                 1.6401,                 1.8128,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4737,                 1.2053,                 1.4411,                0.60038,                0.70425,                0.55213,                0.25585,                 1.9514,                 1.3943,                 1.8155,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.4058,                  1.181,                 1.4332,                0.59351,                0.64375,                0.58174,                0.26308,                 1.8781,                 1.4442,                 1.7116,              0.0017162,              0.0017162,              0.0017162
