                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1692,                0.67655,                 0.9485,                0.68928,                0.68641,                0.72335,                0.35236,                 1.5815,                 1.0027,                 1.1904,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.1247,                0.65722,                0.93986,                0.66804,                0.62024,                0.67349,                 0.3403,                 1.6008,                 1.2068,                 1.1885,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.1323,                0.65695,                0.92643,                0.80073,                0.64639,                0.75491,                0.39278,                 1.5744,                0.94394,                 1.1864,              0.0012819,              0.0012819,              0.0012819
                     38,                 1.0975,                0.64056,                0.93226,                0.68417,                0.70924,                0.71792,                0.35969,                 1.6039,                0.99018,                 1.2135,              0.0012709,              0.0012709,              0.0012709
                     39,                  1.076,                0.62285,                0.92921,                0.72754,                0.67669,                 0.7263,                0.36652,                 1.5793,                0.99809,                 1.1775,              0.0012599,              0.0012599,              0.0012599
                     40,                  1.106,                0.63877,                0.93141,                0.69599,                0.68315,                0.70231,                0.37499,                 1.5515,                 1.0546,                 1.1672,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.0913,                0.63602,                0.93248,                0.70995,                0.62174,                0.68898,                0.34346,                 1.6025,                 1.0586,                 1.1864,              0.0012379,              0.0012379,              0.0012379
                     42,                 1.0566,                 0.6129,                0.91457,                0.70804,                0.66811,                0.72123,                0.36197,                 1.6251,                 0.9777,                 1.2247,              0.0012269,              0.0012269,              0.0012269
                     43,                 1.0477,                0.60089,                0.91619,                0.71118,                0.72989,                0.74655,                0.37838,                 1.6229,                0.96674,                 1.1969,              0.0012159,              0.0012159,              0.0012159
                     44,                 1.0552,                0.60411,                0.91923,                0.78012,                 0.6712,                0.72495,                0.37656,                  1.601,                0.96124,                 1.1815,              0.0012049,              0.0012049,              0.0012049
                     45,                 1.0631,                0.59824,                0.92093,                0.73479,                0.67554,                0.71256,                0.36098,                  1.584,                0.98657,                 1.1939,              0.0011939,              0.0011939,              0.0011939
                     46,                 1.0303,                0.58861,                0.91808,                0.71686,                 0.6879,                0.73735,                0.38547,                 1.5705,                0.96841,                 1.1841,              0.0011829,              0.0011829,              0.0011829
                     47,                 1.0395,                0.57096,                0.90977,                0.72507,                0.65924,                0.70373,                0.35733,                  1.605,                  1.075,                 1.1874,              0.0011719,              0.0011719,              0.0011719
                     48,                  1.022,                0.59064,                0.92092,                0.73124,                0.68043,                0.70785,                0.36053,                 1.6161,                 1.0408,                 1.2015,              0.0011609,              0.0011609,              0.0011609
                     49,                 1.0244,                0.58269,                0.91064,                0.76576,                0.65259,                0.73407,                0.36099,                 1.6085,                0.99627,                 1.2075,              0.0011499,              0.0011499,              0.0011499
                     50,                 1.0238,                0.58681,                0.91001,                0.77499,                0.65415,                0.72628,                 0.3626,                 1.5744,                0.95567,                 1.1928,              0.0011389,              0.0011389,              0.0011389
